feature_pair,group,fold,rows,positive_rows,negative_rows,false_negative,false_positive,false_negative_rate,false_positive_rate
_AGE80 × GENHLTH,18-44 | 2: Very good,1,8442,38,8404,38,1,1.0,0.00011899095668729176
_AGE80 × GENHLTH,18-44 | 2: Very good,2,8509,45,8464,44,0,0.9777777777777777,0.0
_AGE80 × GENHLTH,18-44 | 2: Very good,3,8519,51,8468,51,2,1.0,0.00023618327822390176
_AGE80 × GENHLTH,18-44 | 3: Good,1,7016,104,6912,99,9,0.9519230769230769,0.0013020833333333333
_AGE80 × GENHLTH,18-44 | 3: Good,2,6937,88,6849,86,4,0.9772727272727273,0.0005840268652358008
_AGE80 × GENHLTH,18-44 | 3: Good,3,7094,88,7006,79,11,0.8977272727272727,0.0015700827861832715
_AGE80 × GENHLTH,18-44 | 4: Fair,1,1957,92,1865,79,42,0.8586956521739131,0.022520107238605896
_AGE80 × GENHLTH,18-44 | 4: Fair,2,1968,66,1902,54,43,0.8181818181818182,0.02260778128286015
_AGE80 × GENHLTH,18-44 | 4: Fair,3,2020,81,1939,61,33,0.7530864197530864,0.01701908200103146
_AGE80 × GENHLTH,18-44 | 5: Poor,1,436,46,390,26,39,0.5652173913043478,0.1
_AGE80 × GENHLTH,18-44 | 5: Poor,2,460,59,401,41,36,0.6949152542372882,0.08977556109725686
_AGE80 × GENHLTH,18-44 | 5: Poor,3,483,49,434,23,63,0.46938775510204084,0.14516129032258066
_AGE80 × GENHLTH,45-54 | 1: Excellent,1,2816,26,2790,23,0,0.8846153846153846,0.0
_AGE80 × GENHLTH,45-54 | 1: Excellent,2,2632,32,2600,26,0,0.8125,0.0
_AGE80 × GENHLTH,45-54 | 1: Excellent,3,2549,20,2529,18,1,0.9,0.00039541320680110717
_AGE80 × GENHLTH,45-54 | 2: Very good,1,4751,100,4651,90,4,0.9,0.0008600301010535369
_AGE80 × GENHLTH,45-54 | 2: Very good,2,4945,90,4855,80,2,0.8888888888888888,0.00041194644696189496
_AGE80 × GENHLTH,45-54 | 2: Very good,3,4683,82,4601,77,5,0.9390243902439024,0.0010867202782003911
_AGE80 × GENHLTH,45-54 | 3: Good,1,4188,175,4013,158,47,0.9028571428571428,0.01171193620732619
_AGE80 × GENHLTH,45-54 | 3: Good,2,4273,188,4085,164,31,0.8723404255319149,0.007588739290085679
_AGE80 × GENHLTH,45-54 | 3: Good,3,4271,168,4103,142,51,0.8452380952380952,0.012429929320009749
_AGE80 × GENHLTH,45-54 | 4: Fair,1,1796,224,1572,133,169,0.59375,0.10750636132315522
_AGE80 × GENHLTH,45-54 | 4: Fair,2,1797,194,1603,118,194,0.6082474226804123,0.12102308172177167
_AGE80 × GENHLTH,45-54 | 4: Fair,3,1773,207,1566,119,210,0.5748792270531401,0.13409961685823754
_AGE80 × GENHLTH,45-54 | 5: Poor,1,711,161,550,36,166,0.2236024844720497,0.3018181818181818
_AGE80 × GENHLTH,45-54 | 5: Poor,2,771,187,584,49,184,0.2620320855614973,0.3150684931506849
_AGE80 × GENHLTH,45-54 | 5: Poor,3,788,176,612,52,231,0.29545454545454547,0.37745098039215685
_AGE80 × GENHLTH,55-64 | 1: Excellent,1,3155,48,3107,45,1,0.9375,0.000321853878339234
_AGE80 × GENHLTH,55-64 | 1: Excellent,2,3221,63,3158,58,1,0.9206349206349206,0.00031665611146295124
_AGE80 × GENHLTH,55-64 | 1: Excellent,3,3138,55,3083,54,3,0.9818181818181818,0.0009730781706130393
_AGE80 × GENHLTH,55-64 | 2: Very good,1,6364,209,6155,193,14,0.9234449760765551,0.002274573517465475
_AGE80 × GENHLTH,55-64 | 2: Very good,2,6275,232,6043,217,16,0.9353448275862069,0.0026476915439351315
_AGE80 × GENHLTH,55-64 | 2: Very good,3,6420,199,6221,187,18,0.9396984924623115,0.0028934254942935217
